Month,SOUTHERN,MISSION,CENTRAL,NORTHERN,TENDERLOIN,PARK,BAYVIEW,INGLESIDE,TARAVAL,RICHMOND
January,491,438,330,309,275,110,101,87,67,53
February,332,315,209,258,179,79,47,50,30,32
March,452,411,272,305,275,109,74,62,58,58
April,492,654,293,355,270,134,66,88,48,64
May,564,592,345,437,291,140,88,84,69,72
June,470,540,304,396,226,145,81,59,60,71
July,528,665,384,480,241,136,90,87,60,68
August,676,679,423,448,242,169,127,92,93,91
September,616,674,358,368,237,149,128,106,88,91
October,648,792,450,452,213,141,83,110,96,119
November,624,671,407,424,181,169,82,107,67,101
December,727,621,358,418,427,156,75,102,84,108
